Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,813.550256,747.6880455,926.507941,966.9620321,971.633503,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2201.722907,..
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,32567375970,29495629513,37931379899,41281584746,41865355064,46566715049,49061481754,55844878996,58036781460,70451155677,80569661677,80913174278,91231454558,96341095376,98965950295,1.00402E+11,1.02672E+11,1.05389E+11,1.06643E+11,1.10814E+11,1.08209E+11,85767546198,80415503801,82238478028,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2655.059901,1988.181406,1898.820304,2142.681185,2384.728785,2776.187606,3053.329987,2759.428026,3085.572796,3549.284425,3976.926083,4451.000524,4840.347882,5169.842511,5595.55058,6014.326823,6754.356795,7584.970687,8469.260125,9025.926107,9755.92876,10273.46683,10463.60624,10588.15788,11317.28378,11747.31803,12208.37535,13004.77763,13696.534,14792.03082,14511.88937,16126.77749,19444.7069,21259.79778,23487.99363
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,18274942062,13157566899,12211917973,13379305485,14490171371,16420600300,17625269554,15561073194,16854202298,18918964811,20330860426,22132933135,23157332899,24392374658,25676940952,26994379070,28619165682,30479437956,32584671726,33461444277,34456304689,35305141557,35652590005,36261261117,37073595662,37899485664,39380952118,40673898060,42167207396,43036938898,41610799594,45343111967,47531686193,49402826580,51360027803
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7602.187257,7582.071945,7704.516443,7537.938682,7462.647588,7746.716839,8052.768567,8128.798914,8502.888359,8776.442095,9186.815903,9543.520354,10080.1825,10802.75067,11431.68567,12246.26922,12791.34126,13320.96412,13666.2182,13651.4473,14201.36599,14639.87794,14441.32934,14370.82066,14694.14383,13807.35158,13437.84602,13493.56075,13727.12664,13892.53334,12676.51306,14496.86547,15836.09444,16824.4879,17552.77425
Algeria,DZA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.97621E+11,2.9405E+11,2.99343E+11,2.93057E+11,2.90419E+11,3.01455E+11,3.13815E+11,3.17267E+11,3.33447E+11,3.44118E+11,3.57194E+11,3.6791E+11,3.87777E+11,4.12982E+11,4.31567E+11,4.54871E+11,4.68063E+11,4.82572E+11,4.94637E+11,5.00572E+11,5.246E+11,5.40338E+11,5.53306E+11,5.67692E+11,5.90967E+11,6.09878E+11,6.33664E+11,6.43169E+11,6.52173E+11,6.58042E+11,6.2514E+11,6.48896E+11,6.72256E+11,6.99818E+11,7.22912E+11
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24908.87094,24510.24608,23816.84047,22958.32578,23509.45998,24934.38277,26541.58145,29121.60371,30072.72727,31589.95824,33458.11816,36895.44025,38787.05225,41147.8807,42717.23777,44577.81933,46852.65839,47501.43093,44838.995,42522.99456,43853.17124,46436.11586,45503.04448,45609.23072,48505.60174,50733.239,53110.14263,53084.86396,55244.65541,57475.06928,52095.8414,59332.20291,68470.07595,71730.66868,74939.4746
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2631759312,2698763997,2723841291,2695745293,2759989816,2836096580,2967967659,3237093233,3340511674,3477441884,3600138635,3892446769,4069411498,4423214424,4783072833,5041253346,5283671526,5365736886,5067445572,4798726710,4703953873,4703574275,4469597620,4311034331,4419002699,4482377402,4648659174,4664746876,4738858765,4834372721,4293699379,4649508749,5094216232,5225828101,5402033635
