year,age_id,age_name,countries_with_dalys,countries_with_vlw,total_dalys,total_dalys_lower,total_dalys_upper,total_economic_burden_vlw,total_economic_burden_vlw_lower,total_economic_burden_vlw_upper,total_economic_burden_vlw_trillion,total_economic_burden_vlw_lower_trillion,total_economic_burden_vlw_upper_trillion
1990,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
1990,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
1990,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
1990,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
1990,9,20-24 years,48,43,8401.549431540374,6140.378771467228,11032.91004445799,72924154.89501101,50755209.21029181,99574213.59917346,7.292415489501101e-5,5.075520921029181e-5,9.957421359917346e-5
1990,10,25-29 years,48,43,11171.103962991301,8208.640541936435,14670.442583000831,116682487.64084204,82558607.75748013,158351776.42282808,1.1668248764084203e-4,8.255860775748013e-5,1.583517764228281e-4
1990,11,30-34 years,48,43,20182.641744558994,14926.657353687586,26224.818902553903,250765177.86629772,180946178.3079111,337163122.82725835,2.507651778662977e-4,1.809461783079111e-4,3.3716312282725837e-4
1990,12,35-39 years,48,43,37188.12101336299,26850.905949076583,48961.310026870866,576038357.3110619,416951444.2058301,778822283.1229849,5.760383573110619e-4,4.169514442058301e-4,7.788222831229849e-4
1990,13,40-44 years,48,43,56454.40447617777,41823.052315133194,74300.67573073899,1244951896.1411822,916668798.9361743,1666224650.507643,0.001244951896141182,9.166687989361743e-4,0.001666224650507643
1990,14,45-49 years,48,43,81777.35886279968,61091.97632969019,105910.91335560958,2315963349.967266,1762480362.2801554,3049870102.871229,0.002315963349967266,0.0017624803622801554,0.003049870102871229
1990,15,50-54 years,48,43,126723.03658863482,96281.40132238716,166237.81116600335,4464425264.389734,3445625329.635944,5866862539.325877,0.004464425264389734,0.003445625329635944,0.005866862539325877
1990,16,55-59 years,48,43,172687.4398023643,135203.14849554276,226896.03949848044,7682797980.085554,6064179787.853871,10049131181.715994,0.007682797980085554,0.006064179787853871,0.010049131181715994
1990,17,60-64 years,48,43,211692.9924938235,169296.93850123388,269758.63646232954,12015425021.320929,9677404554.865435,15538048227.641401,0.012015425021320929,0.009677404554865435,0.015538048227641401
