location_id,location_name,country_code,asia_subregion,year,age_id,age_name,dalys,dalys_lower,dalys_upper,economic_burden_vlw,economic_burden_vlw_lower,economic_burden_vlw_upper,economic_burden_vlw_trillion,economic_burden_vlw_lower_trillion,economic_burden_vlw_upper_trillion
160,Afghanistan,AFG,South Asia,1990,1,<5 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1990,6,5-9 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1990,7,10-14 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1990,8,15-19 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1990,9,20-24 years,7.079680432551498,3.415445132011378,10.840818901264198,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,10,25-29 years,3.718708820554888,1.6850980112068423,5.971515205926264,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,11,30-34 years,5.270270244936268,2.691819580248257,8.28376130142625,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,12,35-39 years,15.13277643495651,8.062903104873849,24.274721415237764,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,13,40-44 years,30.822849251839504,17.219101163848272,47.07989040650914,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,14,45-49 years,73.19348965331002,40.3821127880429,113.79002009456777,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,15,50-54 years,132.5426403735939,80.2445883008307,203.22830672571845,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,16,55-59 years,161.27118439307307,102.99282873147786,251.3225972269703,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,17,60-64 years,235.69282494271872,147.99874672601143,376.93934736326935,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,18,65-69 years,208.58584595700535,127.2965356483341,323.8184050198486,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,19,70-74 years,207.08912139404833,136.76289788650135,304.51850181890256,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,20,75-79 years,101.18663846319296,64.51280923407647,145.42008336727733,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,30,80-84 years,57.81314749797548,38.46901910205492,86.70957985485325,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,31,85-89 years,21.34189408932696,13.964779840671325,31.99530567990989,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,32,90-94 years,4.380481478963822,2.8541126467473585,6.738113755079907,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1990,235,95+ years,1.0793629170275314,0.6870780781132828,1.715389154224815,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,1,<5 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1991,6,5-9 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1991,7,10-14 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1991,8,15-19 years,0,0,0,0,0,0,0,0,0
160,Afghanistan,AFG,South Asia,1991,9,20-24 years,7.096637697596592,3.407415105952073,10.597469721446275,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,10,25-29 years,4.044624614209805,1.8297606658751464,6.491187793414305,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,11,30-34 years,4.706564311087975,2.3542287313372787,7.408611092931854,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,12,35-39 years,13.888242626841285,7.386222126568564,22.55336316754973,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,13,40-44 years,29.9791857025234,16.570157505887686,46.360169051828954,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,14,45-49 years,70.79768945872328,39.77960150981879,110.38920772149362,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,15,50-54 years,129.86607111079107,82.59729449972478,197.1162575346277,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,16,55-59 years,161.1548179304429,102.21887133235026,256.4493859194416,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,17,60-64 years,235.38512530072325,150.0957802009949,373.6796478551316,NA,NA,NA,NA,NA,NA
160,Afghanistan,AFG,South Asia,1991,18,65-69 years,208.73375493675331,132.1890818574349,327.56097413382844,NA,NA,NA,NA,NA,NA
