population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,5040.670841802391,5900.846890585379,4283.171752537974
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,29.861960219435545,34.95781824242915,25.37438140705182
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,37.83229750812451,44.33774302905136,32.183547528037366
1,All Population,2,DALYs (Disability-Adjusted Life Years),164,Nepal,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,3594.225728594172,5085.814708906122,2552.61725694761
1,All Population,2,DALYs (Disability-Adjusted Life Years),164,Nepal,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,18.47616773122573,26.14370178926909,13.121764784492903
1,All Population,2,DALYs (Disability-Adjusted Life Years),164,Nepal,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,36.12546796171176,51.13217330743841,25.83586122538127
1,All Population,2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,20.6890200778522,28.57122788788947,14.413480718867444
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,2716.313433127636,3583.223669047444,1705.2303209337483
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,14.899197293683663,19.65426954836486,9.353325235928176
1,All Population,2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,28.925642366540327,38.26073455674245,17.95724343647751
1,All Population,2,DALYs (Disability-Adjusted Life Years),15,Myanmar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,5659.738770033516,9074.509074407391,3895.357688718739
1,All Population,2,DALYs (Disability-Adjusted Life Years),15,Myanmar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,13.982743939972003,22.41915076367377,9.623728466823346
1,All Population,2,DALYs (Disability-Adjusted Life Years),15,Myanmar,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,22.75914476517746,37.84743082298934,15.520688386115795
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,763.6233347911497,1008.9609109334302,525.388651430462
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,34.63694867657613,45.76513798943918,23.830937224868244
1,All Population,2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,67.43111721903495,90.15271985057848,48.080409199345056
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,490900.2456794882,643366.4784031686,387079.0113644075
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,41.63213094842492,54.56244463604449,32.827288701402296
1,All Population,2,DALYs (Disability-Adjusted Life Years),6,China,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,55.12345545266617,71.80500695419235,43.526184491430314
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,48.349871196388264,65.14913693271993,26.715390053876305
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,10.43566882504613,14.061564187129298,5.766157307881527
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,40.5704927774753,55.63847014961353,23.686699765094424
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,103.40761407579684,137.18866392225848,71.01293756191166
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,1.9243088425054888,2.552939272765841,1.3214773873663967
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,3.703696552343243,4.941925784437537,2.541014806732901
